OrderNumber,OrderDate,Customer Name Index,Channel,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Revenue,Total Unit Cost
SO - 000816,10-05-2013,34,Wholesale,GUT930,36,1,11,5494.00,60434.00,3845.80
SO - 000817,10-05-2013,20,Distributor,GUT930,42,1,9,5782.10,52038.90,4625.68
SO - 000818,11-05-2013,42,Distributor,AXW291,6,11,8,3872.60,30980.80,2052.48
SO - 000819,11-05-2013,22,Export,NXH382,47,4,9,6445.40,58008.60,3544.97
SO - 000820,11-05-2013,42,Distributor,AXW291,18,7,7,227.80,1594.60,93.40
SO - 000821,11-05-2013,11,Distributor,AXW291,4,7,9,247.90,2231.10,151.22
SO - 000822,12-05-2013,37,Distributor,AXW291,19,7,5,1031.80,5159.00,763.53
SO - 000823,12-05-2013,45,Distributor,FLR025,64,11,11,2237.80,24615.80,1499.33
SO - 000824,12-05-2013,11,Wholesale,AXW291,22,8,11,1179.20,12971.20,825.44
SO - 000825,12-05-2013,50,Distributor,GUT930,43,11,12,2378.50,28542.00,1546.03
SO - 000826,12-05-2013,49,Export,AXW291,24,11,12,1025.10,12301.20,768.83
SO - 000827,12-05-2013,44,Export,AXW291,25,9,5,1802.30,9011.50,720.92
SO - 000828,12-05-2013,27,Wholesale,AXW291,22,13,5,1916.20,9581.00,1015.59
SO - 000829,12-05-2013,33,Distributor,AXW291,15,11,8,3021.70,24173.60,1661.94
SO - 000830,12-05-2013,23,Wholesale,AXW291,15,4,6,2251.20,13507.20,1710.91
SO - 000831,13-05-2013,8,Wholesale,AXW291,28,5,8,2619.70,20957.60,1074.08
SO - 000832,13-05-2013,33,Wholesale,GUT930,41,4,10,2010.00,20100.00,884.40
SO - 000833,14-05-2013,31,Wholesale,AXW291,16,12,11,1145.70,12602.70,687.42
SO - 000834,14-05-2013,43,Wholesale,GUT930,46,11,6,3618.00,21708.00,1447.20
SO - 000835,14-05-2013,19,Wholesale,GUT930,39,11,9,3551.00,31959.00,2982.84
SO - 000836,14-05-2013,3,Distributor,GUT930,40,9,5,944.70,4723.50,736.87
SO - 000837,15-05-2013,26,Export,AXW291,6,1,9,174.20,1567.80,74.91
SO - 000838,15-05-2013,3,Distributor,AXW291,3,11,8,1809.00,14472.00,1465.29
SO - 000839,15-05-2013,19,Wholesale,AXW291,11,7,5,3993.20,19966.00,1876.80
SO - 000840,16-05-2013,23,Wholesale,AXW291,17,2,6,1005.00,6030.00,793.95
SO - 000841,16-05-2013,15,Wholesale,AXW291,27,11,6,3819.00,22914.00,2176.83
SO - 000842,16-05-2013,49,Wholesale,GUT930,39,2,12,2251.20,27014.40,968.02
SO - 000843,16-05-2013,1,Wholesale,AXW291,19,11,10,964.80,9648.00,665.71
SO - 000844,17-05-2013,33,Wholesale,NXH382,56,11,11,1018.40,11202.40,733.25
SO - 000845,17-05-2013,31,Export,NXH382,60,9,8,261.30,2090.40,117.59
SO - 000846,17-05-2013,27,Wholesale,GUT930,35,11,7,2887.70,20213.90,1530.48
SO - 000847,17-05-2013,2,Distributor,AXW291,26,2,9,1098.80,9889.20,857.06
SO - 000848,17-05-2013,36,Wholesale,AXW291,1,1,9,2217.70,19959.30,1596.74
SO - 000849,17-05-2013,16,Wholesale,AXW291,17,11,8,254.60,2036.80,165.49
SO - 000850,17-05-2013,50,Distributor,AXW291,11,11,12,2432.10,29185.20,2018.64
SO - 000851,17-05-2013,15,Wholesale,GUT930,43,11,12,2499.10,29989.20,1624.42
SO - 000852,17-05-2013,19,Wholesale,FLR025,65,13,6,3564.40,21386.40,1497.05
SO - 000853,17-05-2013,17,Wholesale,AXW291,21,5,7,2532.60,17728.20,1595.54
SO - 000854,18-05-2013,18,Wholesale,AXW291,16,2,6,1768.80,10612.80,1043.59
SO - 000855,18-05-2013,12,Distributor,NXH382,58,1,7,2445.50,17118.50,1222.75
SO - 000856,19-05-2013,30,Wholesale,AXW291,9,13,10,5855.80,58558.00,4567.52
SO - 000857,19-05-2013,36,Wholesale,GUT930,38,7,8,3979.80,31838.40,3223.64
SO - 000858,19-05-2013,14,Distributor,GUT930,41,5,6,964.80,5788.80,443.81
SO - 000859,19-05-2013,29,Wholesale,GUT930,41,7,7,247.90,1735.30,158.66
SO - 000860,20-05-2013,29,Distributor,GUT930,46,4,10,3189.20,31892.00,2264.33
SO - 000861,20-05-2013,50,Wholesale,NXH382,57,2,7,5339.90,37379.30,2830.15
SO - 000862,20-05-2013,47,Wholesale,AXW291,7,11,11,1139.00,12529.00,717.57
SO - 000863,20-05-2013,13,Distributor,AXW291,27,7,7,207.70,1453.90,91.39
SO - 000864,20-05-2013,41,Export,NXH382,55,1,6,2345.00,14070.00,1242.85
SO - 000865,20-05-2013,39,Wholesale,AXW291,18,7,11,2432.10,26753.10,1824.08
SO - 000866,20-05-2013,21,Distributor,GUT930,45,9,12,1112.20,13346.40,578.34
SO - 000867,21-05-2013,32,Distributor,AXW291,27,2,12,1098.80,13185.60,670.27
SO - 000868,21-05-2013,25,Wholesale,NXH382,56,5,10,1159.10,11591.00,741.82
SO - 000869,21-05-2013,25,Wholesale,AXW291,29,7,6,2666.60,15999.60,1253.30
SO - 000870,21-05-2013,7,Wholesale,NXH382,56,11,7,2834.10,19838.70,1190.32
SO - 000871,21-05-2013,49,Wholesale,AXW291,15,11,8,3953.00,31624.00,2450.86
SO - 000872,22-05-2013,9,Distributor,NXH382,49,7,6,1762.10,10572.60,1127.74
SO - 000873,22-05-2013,30,Export,NXH382,60,7,11,2592.90,28521.90,1400.17
SO - 000874,22-05-2013,35,Wholesale,AXW291,15,2,12,2505.80,30069.60,1378.19
SO - 000875,22-05-2013,6,Wholesale,FLR025,65,7,5,194.30,971.50,137.95
SO - 000876,22-05-2013,33,Wholesale,FLR025,64,10,9,5822.30,52400.70,2852.93
SO - 000877,22-05-2013,37,Distributor,NXH382,58,5,12,1815.70,21788.40,1434.40
SO - 000878,23-05-2013,40,Wholesale,GUT930,35,9,9,3906.10,35154.90,2148.36
SO - 000879,23-05-2013,22,Wholesale,GUT930,43,1,11,3926.20,43188.20,1766.79
SO - 000880,23-05-2013,5,Wholesale,AXW291,31,11,9,6123.80,55114.20,4960.28
SO - 000881,23-05-2013,25,Export,AXW291,11,4,12,1132.30,13587.60,962.46
SO - 000882,23-05-2013,29,Export,GUT930,43,5,10,3859.20,38592.00,2315.52
SO - 000883,24-05-2013,3,Distributor,GUT930,41,2,6,797.30,4783.80,454.46
SO - 000884,24-05-2013,21,Distributor,NXH382,57,5,9,5380.10,48420.90,3174.26
SO - 000885,24-05-2013,6,Wholesale,AXW291,25,5,12,3986.50,47838.00,2870.28
SO - 000886,24-05-2013,8,Distributor,AXW291,4,11,10,1219.40,12194.00,951.13
SO - 000887,25-05-2013,16,Distributor,GUT930,34,3,7,1681.70,11771.90,1345.36
SO - 000888,25-05-2013,50,Wholesale,AXW291,4,7,11,174.20,1916.20,80.13
SO - 000889,25-05-2013,31,Wholesale,AXW291,25,7,10,3865.90,38659.00,1739.66
SO - 000890,25-05-2013,14,Wholesale,AXW291,30,11,10,5132.20,51322.00,2514.78
SO - 000891,25-05-2013,21,Export,AXW291,20,1,6,1829.10,10974.60,987.71
SO - 000892,25-05-2013,24,Wholesale,FLR025,64,11,11,3162.40,34786.40,2023.94
SO - 000893,26-05-2013,4,Distributor,AXW291,1,14,11,6103.70,67140.70,2746.67
SO - 000894,26-05-2013,23,Distributor,GUT930,43,6,10,750.40,7504.00,600.32
SO - 000895,26-05-2013,22,Distributor,GUT930,41,13,10,167.50,1675.00,100.50
SO - 000896,26-05-2013,48,Wholesale,GUT930,36,5,5,2653.20,13266.00,2069.50
SO - 000897,26-05-2013,14,Distributor,AXW291,2,11,11,3008.30,33091.30,1594.40
SO - 000898,26-05-2013,9,Distributor,NXH382,48,1,5,690.10,3450.50,338.15
SO - 000899,27-05-2013,26,Distributor,AXW291,21,5,10,1031.80,10318.00,474.63
SO - 000900,27-05-2013,18,Wholesale,FLR025,65,3,7,884.40,6190.80,371.45
SO - 000901,27-05-2013,26,Distributor,AXW291,20,5,8,1118.90,8951.20,469.94
SO - 000902,27-05-2013,20,Wholesale,AXW291,25,2,10,2338.30,23383.00,958.70
SO - 000903,27-05-2013,13,Wholesale,AXW291,22,13,12,810.70,9728.40,551.28
SO - 000904,27-05-2013,4,Wholesale,AXW291,24,3,5,3932.90,19664.50,1651.82
SO - 000905,27-05-2013,33,Distributor,AXW291,16,2,12,844.20,10130.40,337.68
SO - 000906,28-05-2013,19,Distributor,GUT930,40,13,8,180.90,1447.20,119.39
SO - 000907,29-05-2013,28,Wholesale,NXH382,47,2,6,2365.10,14190.60,1986.68
SO - 000908,29-05-2013,45,Wholesale,AXW291,18,11,11,2358.40,25942.40,1084.86
SO - 000909,29-05-2013,22,Wholesale,GUT930,38,1,7,1748.70,12240.90,1171.63
SO - 000910,29-05-2013,30,Export,GUT930,39,7,9,1822.40,16401.60,1202.78
SO - 000911,29-05-2013,20,Wholesale,FLR025,66,7,11,824.10,9065.10,684.00
SO - 000912,29-05-2013,3,Wholesale,FLR025,62,14,6,1882.70,11296.20,1317.89
SO - 000913,29-05-2013,6,Distributor,AXW291,17,5,11,3819.00,42009.00,1565.79
SO - 000914,30-05-2013,8,Wholesale,NXH382,54,11,10,1085.40,10854.00,672.95
SO - 000915,30-05-2013,8,Wholesale,NXH382,51,1,9,1072.00,9648.00,857.60
SO - 000916,31-05-2013,39,Wholesale,AXW291,27,8,7,1051.90,7363.30,441.80
SO - 000917,31-05-2013,14,Export,GUT930,42,9,12,1025.10,12301.20,584.31
SO - 000918,31-05-2013,7,Distributor,GUT930,33,13,10,2231.10,22311.00,1026.31
SO - 000919,31-05-2013,3,Export,GUT930,33,1,5,261.30,1306.50,117.59
SO - 000920,31-05-2013,35,Distributor,AXW291,9,2,9,3524.20,31717.80,2960.33
SO - 000921,01-06-2013,43,Export,FLR025,64,1,7,3819.00,26733.00,3207.96
SO - 000922,01-06-2013,26,Distributor,AXW291,12,4,5,3879.30,19396.50,2560.34
SO - 000923,01-06-2013,41,Wholesale,GUT930,39,2,10,227.80,2278.00,132.12
SO - 000924,01-06-2013,50,Wholesale,GUT930,45,2,7,1145.70,8019.90,847.82
SO - 000925,01-06-2013,27,Wholesale,AXW291,8,11,6,2579.50,15477.00,1134.98
SO - 000926,02-06-2013,4,Distributor,GUT930,43,5,12,1105.50,13266.00,464.31
SO - 000927,02-06-2013,32,Distributor,NXH382,49,13,6,1762.10,10572.60,1215.85
SO - 000928,02-06-2013,17,Wholesale,NXH382,52,2,11,1989.90,21888.90,935.25
SO - 000929,02-06-2013,14,Export,AXW291,29,2,9,261.30,2351.70,198.59
SO - 000930,02-06-2013,35,Export,AXW291,6,11,12,1072.00,12864.00,675.36
SO - 000931,02-06-2013,21,Distributor,GUT930,33,11,5,1058.60,5293.00,899.81
SO - 000932,02-06-2013,20,Export,GUT930,38,5,9,247.90,2231.10,131.39
SO - 000933,03-06-2013,11,Wholesale,AXW291,4,11,10,2659.90,26599.00,1117.16
SO - 000934,03-06-2013,44,Distributor,AXW291,28,11,9,1031.80,9286.20,866.71
SO - 000935,04-06-2013,8,Distributor,AXW291,8,14,6,2546.00,15276.00,1120.24
SO - 000936,04-06-2013,21,Distributor,AXW291,10,7,6,857.60,5145.60,660.35
SO - 000937,04-06-2013,31,Distributor,AXW291,21,7,7,3946.30,27624.10,1973.15
SO - 000938,04-06-2013,28,Distributor,FLR025,66,10,6,4006.60,24039.60,2484.09
SO - 000939,04-06-2013,37,Wholesale,GUT930,40,11,11,1132.30,12455.30,758.64
SO - 000940,05-06-2013,7,Wholesale,AXW291,19,11,8,897.80,7182.40,511.75
SO - 000941,05-06-2013,17,Wholesale,AXW291,28,7,10,3939.60,39396.00,2678.93
SO - 000942,05-06-2013,1,Distributor,GUT930,32,2,9,1031.80,9286.20,515.90
SO - 000943,05-06-2013,40,Export,AXW291,5,1,7,6251.10,43757.70,4938.37
SO - 000944,05-06-2013,47,Wholesale,AXW291,31,7,12,3819.00,45828.00,2176.83
SO - 000945,06-06-2013,15,Wholesale,AXW291,29,8,12,5480.60,65767.20,3233.55
SO - 000946,06-06-2013,12,Distributor,FLR025,63,11,7,1045.20,7316.40,752.54
SO - 000947,06-06-2013,48,Wholesale,AXW291,19,9,11,2298.10,25279.10,988.18
SO - 000948,06-06-2013,10,Wholesale,AXW291,12,13,7,924.60,6472.20,730.43
SO - 000949,07-06-2013,21,Distributor,GUT930,34,3,8,2974.80,23798.40,2231.10
SO - 000950,07-06-2013,19,Distributor,AXW291,23,1,7,830.80,5815.60,515.10
SO - 000951,07-06-2013,17,Export,GUT930,34,11,6,1051.90,6311.40,641.66
SO - 000952,07-06-2013,49,Export,AXW291,27,8,7,1031.80,7222.60,763.53
SO - 000953,08-06-2013,29,Export,AXW291,18,3,7,1775.50,12428.50,905.51
SO - 000954,08-06-2013,27,Wholesale,AXW291,5,7,5,1809.00,9045.00,1465.29
SO - 000955,08-06-2013,7,Wholesale,GUT930,43,2,11,1005.00,11055.00,763.80
SO - 000956,08-06-2013,45,Export,AXW291,25,5,6,167.50,1005.00,85.43
SO - 000957,09-06-2013,2,Distributor,GUT930,37,9,12,1098.80,13185.60,681.26
SO - 000958,09-06-2013,40,Wholesale,NXH382,59,12,10,187.60,1876.00,91.92
SO - 000959,09-06-2013,36,Wholesale,AXW291,28,9,8,1065.30,8522.40,511.34
SO - 000960,09-06-2013,13,Distributor,GUT930,40,5,11,1179.20,12971.20,813.65
SO - 000961,09-06-2013,48,Wholesale,AXW291,26,13,12,1045.20,12542.40,418.08
SO - 000962,09-06-2013,24,Wholesale,AXW291,4,2,9,837.50,7537.50,644.88
SO - 000963,09-06-2013,37,Wholesale,AXW291,8,2,12,1172.50,14070.00,480.73
SO - 000964,10-06-2013,20,Wholesale,AXW291,10,7,10,268.00,2680.00,123.28
SO - 000965,10-06-2013,12,Distributor,AXW291,10,11,5,1085.40,5427.00,640.39
SO - 000966,10-06-2013,31,Wholesale,NXH382,51,14,5,3115.50,15577.50,1246.20
SO - 000967,10-06-2013,28,Wholesale,AXW291,18,10,8,2412.00,19296.00,1447.20
SO - 000968,10-06-2013,24,Export,AXW291,10,7,5,3926.20,19631.00,1923.84
SO - 000969,10-06-2013,33,Wholesale,AXW291,3,1,12,2284.70,27416.40,1713.53
SO - 000970,10-06-2013,39,Export,GUT930,46,13,10,783.90,7839.00,556.57
SO - 000971,10-06-2013,4,Wholesale,NXH382,56,2,5,871.00,4355.00,557.44
SO - 000972,10-06-2013,8,Distributor,GUT930,35,13,7,1051.90,7363.30,831.00
SO - 000973,10-06-2013,6,Distributor,NXH382,53,13,8,1219.40,9755.20,609.70
SO - 000974,10-06-2013,3,Wholesale,FLR025,65,7,10,877.70,8777.00,509.07
SO - 000975,10-06-2013,28,Export,GUT930,35,1,10,261.30,2613.00,151.55
SO - 000976,10-06-2013,48,Distributor,AXW291,5,2,12,5172.40,62068.80,3155.16
SO - 000977,10-06-2013,12,Wholesale,GUT930,42,1,12,2237.80,26853.60,1835.00
SO - 000978,11-06-2013,18,Wholesale,AXW291,22,7,8,180.90,1447.20,135.68
SO - 000979,11-06-2013,45,Distributor,AXW291,19,7,6,1876.00,11256.00,1594.60
SO - 000980,12-06-2013,25,Wholesale,GUT930,46,7,7,5815.60,40709.20,4303.54
SO - 000981,12-06-2013,12,Wholesale,AXW291,27,2,10,1922.90,19229.00,903.76
SO - 000982,12-06-2013,43,Wholesale,AXW291,26,11,9,1051.90,9467.10,441.80
SO - 000983,12-06-2013,4,Wholesale,AXW291,14,2,7,5996.50,41975.50,3597.90
SO - 000984,12-06-2013,7,Wholesale,NXH382,58,1,8,1172.50,9380.00,926.28
SO - 000985,12-06-2013,49,Distributor,AXW291,10,11,6,207.70,1246.20,153.70
SO - 000986,12-06-2013,42,Wholesale,AXW291,27,13,6,1085.40,6512.40,868.32
SO - 000987,12-06-2013,42,Distributor,GUT930,41,11,9,964.80,8683.20,627.12
SO - 000988,13-06-2013,50,Distributor,GUT930,37,1,8,3832.40,30659.20,3142.57
SO - 000989,13-06-2013,12,Distributor,NXH382,49,11,6,1125.60,6753.60,754.15
SO - 000990,13-06-2013,34,Wholesale,AXW291,9,2,5,1065.30,5326.50,649.83
SO - 000991,13-06-2013,32,Distributor,AXW291,22,1,11,6197.50,68172.50,4214.30
SO - 000992,13-06-2013,49,Export,AXW291,1,7,7,3912.80,27389.60,2778.09
SO - 000993,13-06-2013,22,Wholesale,NXH382,52,5,9,247.90,2231.10,185.93
SO - 000994,14-06-2013,3,Distributor,FLR025,61,2,7,1038.50,7269.50,789.26
SO - 000995,14-06-2013,44,Wholesale,AXW291,20,5,7,1098.80,7691.60,604.34
SO - 000996,14-06-2013,9,Distributor,AXW291,15,1,6,1273.00,7638.00,814.72
SO - 000997,14-06-2013,13,Distributor,FLR025,63,1,11,268.00,2948.00,160.80
SO - 000998,14-06-2013,31,Wholesale,AXW291,13,7,9,3852.50,34672.50,2157.40
SO - 000999,14-06-2013,19,Export,AXW291,28,2,9,1876.00,16884.00,900.48
SO - 0001000,14-06-2013,27,Wholesale,AXW291,24,1,5,1286.40,6432.00,887.62
SO - 0001001,14-06-2013,46,Export,AXW291,22,13,8,174.20,1393.60,101.04
SO - 0001002,14-06-2013,28,Distributor,FLR025,65,5,11,5259.50,57854.50,4102.41
SO - 0001003,15-06-2013,48,Distributor,GUT930,39,2,5,6512.40,32562.00,5144.80
SO - 0001004,15-06-2013,39,Wholesale,GUT930,35,2,8,1701.80,13614.40,1021.08
SO - 0001005,16-06-2013,21,Wholesale,AXW291,9,13,12,3832.40,45988.80,2682.68
SO - 0001006,16-06-2013,38,Distributor,NXH382,60,5,12,1775.50,21306.00,923.26
SO - 0001007,16-06-2013,29,Distributor,AXW291,3,7,8,1922.90,15383.20,865.31
SO - 0001008,16-06-2013,23,Distributor,NXH382,53,11,12,891.10,10693.20,490.11
SO - 0001009,16-06-2013,3,Wholesale,NXH382,48,11,10,3289.70,32897.00,1875.13
SO - 0001010,16-06-2013,2,Wholesale,AXW291,17,7,9,1078.70,9708.30,593.29
SO - 0001011,16-06-2013,19,Distributor,FLR025,63,7,10,3886.00,38860.00,2720.20
SO - 0001012,16-06-2013,21,Distributor,GUT930,31,7,8,1681.70,13453.60,1143.56
SO - 0001013,16-06-2013,19,Wholesale,NXH382,48,5,6,1065.30,6391.80,852.24
SO - 0001014,17-06-2013,32,Wholesale,AXW291,27,1,11,3912.80,43040.80,3286.75
SO - 0001015,17-06-2013,9,Wholesale,AXW291,16,9,12,3819.00,45828.00,2520.54
SO - 0001016,17-06-2013,22,Distributor,GUT930,40,11,7,1025.10,7175.70,758.57
SO - 0001017,17-06-2013,8,Wholesale,GUT930,37,11,12,3202.60,38431.20,1601.30
SO - 0001018,17-06-2013,49,Distributor,AXW291,31,1,6,5306.40,31838.40,2440.94
SO - 0001019,17-06-2013,14,Distributor,GUT930,43,9,5,1849.20,9246.00,1331.42
SO - 0001020,17-06-2013,3,Distributor,NXH382,51,4,10,194.30,1943.00,137.95
SO - 0001021,18-06-2013,41,Wholesale,AXW291,5,12,6,1051.90,6311.40,757.37
SO - 0001022,18-06-2013,36,Export,AXW291,11,7,7,1809.00,12663.00,1537.65
SO - 0001023,19-06-2013,13,Distributor,AXW291,7,5,5,214.40,1072.00,130.78
SO - 0001024,19-06-2013,40,Wholesale,AXW291,4,2,12,3530.90,42370.80,2577.56
SO - 0001025,19-06-2013,44,Distributor,GUT930,37,7,7,1038.50,7269.50,810.03
SO - 0001026,20-06-2013,50,Export,FLR025,64,7,5,3470.60,17353.00,1561.77
SO - 0001027,20-06-2013,14,Wholesale,AXW291,15,13,6,2659.90,15959.40,2154.52
SO - 0001028,21-06-2013,24,Distributor,AXW291,23,11,7,1118.90,7832.30,637.77
SO - 0001029,21-06-2013,46,Distributor,NXH382,59,5,8,3892.70,31141.60,2257.77
SO - 0001030,21-06-2013,47,Export,GUT930,32,9,12,2003.30,24039.60,921.52
SO - 0001031,21-06-2013,26,Distributor,AXW291,16,1,11,998.30,10981.30,788.66
SO - 0001032,22-06-2013,45,Distributor,NXH382,57,9,9,2546.00,22914.00,1654.90
SO - 0001033,22-06-2013,29,Wholesale,AXW291,5,1,9,2552.70,22974.30,2093.21
SO - 0001034,22-06-2013,22,Export,AXW291,9,1,5,3839.10,19195.50,2610.59
SO - 0001035,22-06-2013,41,Wholesale,FLR025,64,1,11,6076.90,66845.90,4071.52
SO - 0001036,22-06-2013,37,Distributor,NXH382,56,5,9,1051.90,9467.10,462.84
SO - 0001037,23-06-2013,45,Wholesale,NXH382,55,9,7,1132.30,7926.10,577.47
SO - 0001038,23-06-2013,8,Wholesale,FLR025,66,11,10,2961.40,29614.00,1184.56
SO - 0001039,23-06-2013,39,Wholesale,AXW291,16,11,7,3396.90,23778.30,2140.05
SO - 0001040,24-06-2013,34,Export,GUT930,44,10,5,5728.50,28642.50,3322.53
SO - 0001041,24-06-2013,46,Distributor,GUT930,42,9,12,2224.40,26692.80,1401.37
SO - 0001042,25-06-2013,42,Wholesale,FLR025,65,1,8,3986.50,31892.00,1674.33
SO - 0001043,25-06-2013,39,Wholesale,AXW291,28,7,6,5681.60,34089.60,2613.54
SO - 0001044,25-06-2013,39,Distributor,AXW291,4,1,9,5272.90,47456.10,3005.55
SO - 0001045,25-06-2013,24,Export,NXH382,58,11,12,1125.60,13507.20,529.03
SO - 0001046,25-06-2013,37,Distributor,AXW291,11,13,6,690.10,4140.60,400.26
SO - 0001047,25-06-2013,29,Wholesale,AXW291,17,5,9,2546.00,22914.00,1502.14
SO - 0001048,26-06-2013,9,Distributor,GUT930,41,9,9,3035.10,27315.90,2276.33
SO - 0001049,26-06-2013,16,Distributor,AXW291,25,1,7,4006.60,28046.20,2444.03
SO - 0001050,26-06-2013,24,Export,GUT930,35,2,10,3892.70,38927.00,2179.91
SO - 0001051,26-06-2013,45,Wholesale,FLR025,61,7,6,2566.10,15396.60,1334.37
SO - 0001052,26-06-2013,44,Export,GUT930,37,5,5,1333.30,6666.50,786.65
SO - 0001053,26-06-2013,20,Distributor,FLR025,64,5,7,1051.90,7363.30,452.32
SO - 0001054,27-06-2013,49,Distributor,NXH382,51,5,10,3946.30,39463.00,3314.89
SO - 0001055,27-06-2013,26,Distributor,AXW291,27,2,8,1118.90,8951.20,593.02
SO - 0001056,27-06-2013,50,Distributor,NXH382,50,11,5,2881.00,14405.00,1325.26
SO - 0001057,27-06-2013,23,Export,GUT930,38,7,12,2224.40,26692.80,1890.74
SO - 0001058,27-06-2013,39,Wholesale,AXW291,30,10,6,1011.70,6070.20,586.79
SO - 0001059,27-06-2013,16,Wholesale,AXW291,4,1,11,167.50,1842.50,123.95
SO - 0001060,27-06-2013,4,Wholesale,AXW291,3,9,12,1139.00,13668.00,740.35
SO - 0001061,27-06-2013,44,Wholesale,AXW291,24,1,5,167.50,837.50,110.55
SO - 0001062,28-06-2013,29,Wholesale,AXW291,28,1,8,864.30,6914.40,553.15
SO - 0001063,28-06-2013,44,Wholesale,AXW291,25,7,12,2914.50,34974.00,2477.33
SO - 0001064,28-06-2013,41,Distributor,GUT930,42,1,5,5293.00,26465.00,2858.22
SO - 0001065,28-06-2013,39,Export,AXW291,12,11,6,924.60,5547.60,406.82
SO - 0001066,29-06-2013,47,Wholesale,AXW291,29,1,6,884.40,5306.40,619.08
SO - 0001067,29-06-2013,3,Distributor,AXW291,11,7,7,2458.90,17212.30,1819.59
SO - 0001068,29-06-2013,42,Export,FLR025,65,1,11,924.60,10170.60,656.47
SO - 0001069,29-06-2013,12,Wholesale,AXW291,19,1,12,6344.90,76138.80,3235.90
SO - 0001070,29-06-2013,14,Distributor,AXW291,4,11,5,3932.90,19664.50,2910.35
SO - 0001071,29-06-2013,3,Export,NXH382,54,14,10,1112.20,11122.00,500.49
SO - 0001072,30-06-2013,46,Export,NXH382,47,5,12,904.50,10854.00,370.85
SO - 0001073,30-06-2013,50,Wholesale,AXW291,17,7,8,1165.80,9326.40,524.61
SO - 0001074,30-06-2013,14,Export,NXH382,53,2,10,174.20,1742.00,116.71
SO - 0001075,30-06-2013,27,Wholesale,NXH382,58,11,11,2378.50,26163.50,1379.53
SO - 0001076,30-06-2013,18,Wholesale,FLR025,65,11,9,1025.10,9225.90,850.83
SO - 0001077,01-07-2013,11,Wholesale,AXW291,18,7,8,3839.10,30712.80,2034.72
SO - 0001078,01-07-2013,11,Distributor,AXW291,31,1,11,1031.80,11349.80,650.03
SO - 0001079,01-07-2013,7,Wholesale,FLR025,61,7,11,1005.00,11055.00,623.10
SO - 0001080,01-07-2013,31,Distributor,FLR025,61,2,7,3886.00,27202.00,2215.02
SO - 0001081,01-07-2013,30,Distributor,GUT930,34,1,12,1125.60,13507.20,574.06
SO - 0001082,01-07-2013,43,Distributor,NXH382,59,12,7,3899.40,27295.80,1832.72
SO - 0001083,01-07-2013,5,Export,GUT930,38,13,6,1842.50,11055.00,976.53
SO - 0001084,02-07-2013,11,Distributor,AXW291,28,7,7,201.00,1407.00,86.43
SO - 0001085,02-07-2013,32,Wholesale,NXH382,55,1,11,1768.80,19456.80,707.52
SO - 0001086,02-07-2013,24,Wholesale,NXH382,48,5,5,5996.50,29982.50,3777.80
SO - 0001087,03-07-2013,15,Export,NXH382,60,14,10,2525.90,25259.00,1667.09
SO - 0001088,03-07-2013,42,Distributor,AXW291,11,7,12,1005.00,12060.00,562.80
SO - 0001089,03-07-2013,16,Wholesale,NXH382,52,1,7,944.70,6612.90,377.88
SO - 0001090,03-07-2013,49,Export,GUT930,44,11,10,1681.70,16817.00,924.94
SO - 0001091,03-07-2013,20,Wholesale,FLR025,61,1,5,180.90,904.50,151.96
SO - 0001092,03-07-2013,40,Wholesale,NXH382,56,1,10,1896.10,18961.00,1592.72
SO - 0001093,03-07-2013,41,Wholesale,NXH382,52,7,12,804.00,9648.00,410.04
SO - 0001094,04-07-2013,31,Wholesale,NXH382,52,13,7,1112.20,7785.40,778.54
SO - 0001095,04-07-2013,18,Wholesale,GUT930,32,2,7,971.50,6800.50,437.18
SO - 0001096,04-07-2013,30,Export,NXH382,49,11,11,2465.60,27121.60,1380.74
SO - 0001097,04-07-2013,34,Wholesale,GUT930,38,2,6,2659.90,15959.40,1915.13
SO - 0001098,04-07-2013,30,Wholesale,AXW291,11,13,11,1675.00,18425.00,1155.75
SO - 0001099,04-07-2013,3,Wholesale,AXW291,21,7,8,6150.60,49204.80,3505.84
SO - 0001100,04-07-2013,43,Distributor,GUT930,31,9,12,5306.40,63676.80,2387.88
SO - 0001101,05-07-2013,3,Wholesale,NXH382,60,13,6,3758.70,22552.20,3082.13
SO - 0001102,05-07-2013,8,Wholesale,NXH382,58,11,5,2291.40,11457.00,1603.98
SO - 0001103,05-07-2013,16,Distributor,AXW291,26,2,6,5748.60,34491.60,3564.13
SO - 0001104,05-07-2013,22,Wholesale,FLR025,64,5,11,1909.50,21004.50,1336.65
SO - 0001105,05-07-2013,22,Distributor,GUT930,34,7,5,3892.70,19463.50,3308.80
SO - 0001106,05-07-2013,43,Wholesale,FLR025,65,1,12,1118.90,13426.80,749.66
SO - 0001107,05-07-2013,3,Distributor,AXW291,30,11,9,3999.90,35999.10,2559.94
SO - 0001108,05-07-2013,45,Wholesale,NXH382,52,7,6,1782.20,10693.20,873.28
SO - 0001109,06-07-2013,12,Distributor,AXW291,21,4,11,1072.00,11792.00,707.52
SO - 0001110,06-07-2013,3,Wholesale,AXW291,6,11,11,917.90,10096.90,559.92
SO - 0001111,06-07-2013,40,Wholesale,NXH382,59,2,5,5252.80,26264.00,2836.51
SO - 0001112,07-07-2013,2,Distributor,GUT930,39,12,6,6505.70,39034.20,5399.73
